Country,Units,Scale,2017,2018,2019,2020,2021,2022,Estimates Start After
New Zealand,Percent of total labor force,,4.75,4.3,4.125,4.6,3.75,3.3,2021
Nicaragua,Percent of total labor force,,3.67,5.5,6.223,7.176,11.1,7.518,2020
Nigeria,Percent of total labor force,,17.462,22.562,n/a,n/a,n/a,n/a,2020
North Macedonia,Percent of total labor force,,22.375,20.725,17.25,16.375,15.7,14.5,2022
Norway,Percent of total labor force,,4.216,3.854,3.728,4.595,4.41,3.252,2022
Pakistan,Percent of total labor force,,5.832,5.8,6.9,6.562,6.3,6.2,2021
Panama,Percent of total labor force,,6.13,5.956,7.07,18.548,11.293,8.8,2021
Paraguay,Percent of total labor force,,6.086,6.236,6.569,7.708,7.51,7.185,2021
Peru,Percent of total labor force,,6.876,6.7,6.579,13,10.7,7.8,2022
Philippines,Percent of total labor force,,5.725,5.325,5.1,10.4,7.783,5.4,2022
Poland,Percent of total labor force,,4.888,3.846,3.279,3.163,3.362,2.887,2022
Portugal,Percent of total labor force,,9.233,7.175,6.683,7.142,6.575,6.033,2022
Puerto Rico,Percent of total labor force,,10.8,9.2,8.3,8.8,8.1,6,2021
Romania,Percent of total labor force,,6.092,5.25,4.892,6.075,5.608,5.625,2021
Russia,Percent of total labor force,,5.2,4.8,4.6,5.783,4.825,3.942,2021
San Marino,Percent of total labor force,,8.095,8.009,7.663,7.342,5.845,5.481,2021
São Tomé and Príncipe,Percent of total labor force,,13.472,n/a,n/a,n/a,n/a,n/a,2017
Saudi Arabia,Percent of total labor force,,5.9,6.025,5.625,7.65,6.65,n/a,2021
Serbia,Percent of total labor force,,14.493,13.673,11.193,9.728,11.008,9.396,2021
Seychelles,Percent of total labor force,,3,3,3,3,3,3,2015
Singapore,Percent of total labor force,,2.175,2.1,2.25,3,2.65,2.1,2022
Slovak Republic,Percent of total labor force,,8.067,6.525,5.733,6.617,6.842,6.125,2022
Slovenia,Percent of total labor force,,6.575,5.125,4.45,5,4.725,4,2022
South Africa,Percent of total labor force,,27.45,27.125,28.7,29.175,34.3,33.5,2022
Spain,Percent of total labor force,,17.225,15.255,14.105,15.533,14.785,12.918,2022
Sri Lanka,Percent of total labor force,,4.2,4.4,4.8,5.5,5.1,5.25,2021
Sudan,Percent of total labor force,,19.6,19.5,22.1,26.83,28.328,32.137,2011
Suriname,Percent of total labor force,,7,9,8.809,11.147,11.2,10.9,2018
Sweden,Percent of total labor force,,6.858,6.517,6.975,8.542,8.8,7.467,2022
Switzerland,Percent of total labor force,,3.088,2.547,2.306,3.17,2.993,2.166,2022
Taiwan Province of China,Percent of total labor force,,3.76,3.71,3.73,3.85,3.95,3.66,2022
Thailand,Percent of total labor force,,1.2,1.1,1,2,1.5,1,2021
Tunisia,Percent of total labor force,,15.513,15.53,14.889,17.4,16.2,n/a,2021
Türkiye,Percent of total labor force,,10.918,10.907,13.731,13.147,11.96,10.466,2022
Ukraine,Percent of total labor force,,9.65,9,8.5,9.15,9.835,24.528,2021
United Kingdom,Percent of total labor force,,4.425,4.075,3.825,4.55,4.475,3.7,2021
United States,Percent of total labor force,,4.358,3.892,3.683,8.092,5.367,3.642,2022
Uruguay,Percent of total labor force,,7.925,8.367,8.925,10.35,9.375,7.867,2021
Uzbekistan,Percent of total labor force,,5.83,9.347,8.976,10.531,9.625,8.851,2021
Venezuela,Percent of total labor force,,27.886,35.554,n/a,n/a,n/a,n/a,2011
Vietnam,Percent of total labor force,,2.24,2.19,2.17,2.48,3.2,2.32,2020
West Bank and Gaza,Percent of total labor force,,25.45,26.25,25.35,25.925,26.392,24.42,2021
,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, April 2023",,,,,,,,,
